"Chrom"	"Arm"	"Beg"	"End"	"Length"	"Segment"	"bpStart"	"bpEnd"	"CytoStart"	"CytoEnd"
"18"	"q"	"2478"	"2497"	"19"	"3"	"42963568"	"60422438"	"q12.3"	"q21.33"
"18"	"q"	"2488"	"2515"	"27"	"4"	"51533581"	"77438811"	"q21.2"	"q23"
"19"	"p"	"2516"	"2535"	"19"	"1"	"2645842"	"16152544"	"p13.3"	"p13.12"
"19"	"p"	"2526"	"2546"	"20"	"2"	"9181365"	"23764233"	"p13.2"	"p12"
"19"	"q"	"2547"	"2566"	"19"	"1"	"28200396"	"45221782"	"q11"	"q13.32"
"19"	"q"	"2557"	"2580"	"23"	"2"	"36185687"	"58824283"	"q13.12"	"q13.43"
"20"	"q"	"2600"	"2619"	"19"	"1"	"29456636"	"42370936"	"q11.21"	"q13.12"
"20"	"q"	"2610"	"2629"	"19"	"2"	"35452532"	"51284969"	"q11.23"	"q13.2"
"20"	"q"	"2620"	"2641"	"21"	"3"	"44457309"	"62639242"	"q13.12"	"q13.33"
"21"	"q"	"2642"	"2666"	"24"	"1"	"15713961"	"47600622"	"q11.2"	"q22.3"
"22"	"q"	"2667"	"2686"	"19"	"1"	"17242248"	"33169418"	"q11.1"	"q12.3"
"22"	"q"	"2677"	"2696"	"19"	"2"	"25550817"	"39609438"	"q11.23"	"q13.1"
"22"	"q"	"2687"	"2712"	"25"	"3"	"33366938"	"49796787"	"q12.3"	"q13.33"
"23"	"p"	"2713"	"2732"	"19"	"1"	"2930526"	"27116708"	"p22.33"	"p21.3"
"23"	"p"	"2723"	"2742"	"19"	"2"	"14852690"	"37669959"	"p22.2"	"p11.4"
"23"	"p"	"2733"	"2757"	"24"	"3"	"28120950"	"57800610"	"p21.3"	"p11.21"
"23"	"q"	"2758"	"2777"	"19"	"1"	"62352481"	"83345490"	"q11.1"	"q21.1"
"23"	"q"	"2768"	"2787"	"19"	"2"	"73471329"	"95328172"	"q13.2"	"q21.33"
"23"	"q"	"2778"	"2797"	"19"	"3"	"83958678"	"106167441"	"q21.1"	"q22.3"
"23"	"q"	"2788"	"2807"	"19"	"4"	"96464293"	"118555886"	"q21.33"	"q24"
"23"	"q"	"2798"	"2817"	"19"	"5"	"107035946"	"129845744"	"q22.3"	"q26.1"
"23"	"q"	"2808"	"2827"	"19"	"6"	"119561031"	"140385198"	"q24"	"q27.2"
"23"	"q"	"2818"	"2842"	"24"	"7"	"131357146"	"154131702"	"q26.2"	"q28"
