"Chrom"	"Arm"	"Beg"	"End"	"Length"	"Segment"	"bpStart"	"bpEnd"	"CytoStart"	"CytoEnd"
"1"	"p"	"0"	"19"	"19"	"1"	"3225674"	"24480408"	"p36.32"	"p36.11"
"1"	"p"	"10"	"29"	"19"	"2"	"12429632"	"32503491"	"p36.22"	"p35.1"
"1"	"p"	"20"	"39"	"19"	"3"	"24727422"	"41059040"	"p36.11"	"p34.2"
"1"	"p"	"30"	"49"	"19"	"4"	"33102443"	"50571477"	"p35.1"	"p33"
"1"	"p"	"40"	"59"	"19"	"5"	"43216014"	"60167775"	"p34.2"	"p32.1"
"1"	"p"	"50"	"69"	"19"	"6"	"50823002"	"70103164"	"p32.3"	"p31.1"
"1"	"p"	"60"	"79"	"19"	"7"	"61272941"	"82056781"	"p32.1"	"p31.1"
"1"	"p"	"70"	"89"	"19"	"8"	"70406779"	"90064716"	"p31.1"	"p22.2"
"1"	"p"	"80"	"99"	"19"	"9"	"82654606"	"98909737"	"p31.1"	"p21.3"
"1"	"p"	"90"	"109"	"19"	"10"	"90685248"	"108529492"	"p22.2"	"p13.3"
"1"	"p"	"100"	"121"	"21"	"11"	"99899192"	"119700888"	"p21.2"	"p12"
"1"	"q"	"122"	"141"	"19"	"1"	"144902224"	"176031972"	"q21.1"	"q25.2"
"1"	"q"	"132"	"151"	"19"	"2"	"157789502"	"187177778"	"q23.1"	"q31.1"
"1"	"q"	"142"	"161"	"19"	"3"	"177185122"	"202153138"	"q25.2"	"q32.1"
"1"	"q"	"152"	"171"	"19"	"4"	"189026708"	"214983322"	"q31.1"	"q41"
"1"	"q"	"162"	"181"	"19"	"5"	"202708964"	"223823291"	"q32.1"	"q41"
"1"	"q"	"172"	"194"	"22"	"6"	"215620474"	"245156672"	"q41"	"q44"
"2"	"p"	"195"	"214"	"19"	"1"	"1634835"	"17143873"	"p25.3"	"p24.2"
"2"	"p"	"205"	"224"	"19"	"2"	"10273536"	"28560131"	"p25.1"	"p23.2"
"2"	"p"	"215"	"234"	"19"	"3"	"18627614"	"40494207"	"p24.2"	"p22.1"
"2"	"p"	"225"	"244"	"19"	"4"	"29408613"	"52193233"	"p23.2"	"p16.3"
"2"	"p"	"235"	"254"	"19"	"5"	"42481333"	"61074680"	"p21"	"p16.1"
"2"	"p"	"245"	"264"	"19"	"6"	"52340761"	"71023979"	"p16.3"	"p13.3"
"2"	"p"	"255"	"279"	"24"	"7"	"61567864"	"90134890"	"p15"	"p11.2"
"2"	"q"	"280"	"299"	"19"	"1"	"96312037"	"116078094"	"q11.1"	"q14.1"
"2"	"q"	"290"	"309"	"19"	"2"	"103347770"	"129922768"	"q12.1"	"q21.1"
"2"	"q"	"300"	"319"	"19"	"3"	"116597572"	"137651514"	"q14.1"	"q22.1"
"2"	"q"	"310"	"329"	"19"	"4"	"130702537"	"153842923"	"q21.1"	"q23.3"
"2"	"q"	"320"	"339"	"19"	"5"	"138354127"	"164378391"	"q22.1"	"q24.3"
