"Chrom"	"Arm"	"Beg"	"End"	"Length"	"Segment"	"bpStart"	"bpEnd"	"CytoStart"	"CytoEnd"
"14"	"q"	"2092"	"2111"	"19"	"2"	"31089528"	"50538326"	"q12"	"q21.3"
"14"	"q"	"2102"	"2121"	"19"	"3"	"41294945"	"59254716"	"q21.1"	"q23.1"
"14"	"q"	"2112"	"2131"	"19"	"4"	"51787549"	"68753875"	"q22.1"	"q24.1"
"14"	"q"	"2122"	"2141"	"19"	"5"	"60267258"	"76141892"	"q23.1"	"q24.3"
"14"	"q"	"2132"	"2151"	"19"	"6"	"69341229"	"84784824"	"q24.1"	"q31.2"
"14"	"q"	"2142"	"2161"	"19"	"7"	"76584595"	"94877177"	"q24.3"	"q32.13"
"14"	"q"	"2152"	"2174"	"22"	"8"	"85099070"	"106197313"	"q31.3"	"q32.33"
"15"	"q"	"2175"	"2194"	"19"	"1"	"22813353"	"43893914"	"q11.2"	"q15.3"
"15"	"q"	"2185"	"2204"	"19"	"2"	"35106817"	"53948184"	"q14"	"q21.3"
"15"	"q"	"2195"	"2214"	"19"	"3"	"44807380"	"64580851"	"q21.1"	"q22.31"
"15"	"q"	"2205"	"2224"	"19"	"4"	"54773298"	"70833282"	"q21.3"	"q23"
"15"	"q"	"2215"	"2234"	"19"	"5"	"65284212"	"83070992"	"q22.31"	"q25.2"
"15"	"q"	"2225"	"2252"	"27"	"6"	"72356454"	"101733816"	"q23"	"q26.3"
"16"	"p"	"2253"	"2272"	"19"	"1"	"491053"	"20244797"	"p13.3"	"p12.3"
"16"	"p"	"2263"	"2283"	"20"	"2"	"9728105"	"31048088"	"p13.2"	"p11.2"
"16"	"q"	"2284"	"2303"	"19"	"1"	"46510743"	"63838775"	"q11.2"	"q21"
"16"	"q"	"2294"	"2313"	"19"	"2"	"55869021"	"70133673"	"q12.2"	"q22.1"
"16"	"q"	"2304"	"2323"	"19"	"3"	"64365187"	"77877733"	"q21"	"q23.1"
"16"	"q"	"2314"	"2335"	"21"	"4"	"70607807"	"89894658"	"q22.1"	"q24.3"
"17"	"p"	"2336"	"2355"	"19"	"1"	"856239"	"15381603"	"p13.3"	"p12"
"17"	"p"	"2346"	"2365"	"19"	"2"	"7498754"	"21899773"	"p13.1"	"p11.2"
"17"	"q"	"2366"	"2385"	"19"	"1"	"25440972"	"37812853"	"q11.1"	"q12"
"17"	"q"	"2376"	"2395"	"19"	"2"	"32489785"	"43339849"	"q12"	"q21.31"
"17"	"q"	"2386"	"2405"	"19"	"3"	"38428492"	"49075570"	"q21.2"	"q21.33"
"17"	"q"	"2396"	"2415"	"19"	"4"	"44084882"	"57340119"	"q21.31"	"q22"
"17"	"q"	"2406"	"2425"	"19"	"5"	"51080264"	"66108804"	"q22"	"q24.2"
"17"	"q"	"2416"	"2440"	"24"	"6"	"57996713"	"80780814"	"q23.1"	"q25.3"
"18"	"q"	"2458"	"2477"	"19"	"1"	"18973956"	"41791273"	"q11.1"	"q12.3"
"18"	"q"	"2468"	"2487"	"19"	"2"	"30004156"	"49687870"	"q12.1"	"q21.2"
