"Chrom"	"Arm"	"Beg"	"End"	"Length"	"Segment"	"bpStart"	"bpEnd"	"CytoStart"	"CytoEnd"
"8"	"q"	"1374"	"1393"	"19"	"6"	"97704933"	"117215694"	"q22.1"	"q23.3"
"8"	"q"	"1384"	"1403"	"19"	"7"	"107752315"	"128667455"	"q23.1"	"q24.21"
"8"	"q"	"1394"	"1416"	"22"	"8"	"118228903"	"145613007"	"q24.11"	"q24.3"
"9"	"p"	"1417"	"1436"	"19"	"1"	"1002152"	"16152186"	"p24.3"	"p22.3"
"9"	"p"	"1427"	"1446"	"19"	"2"	"9668611"	"24101721"	"p23"	"p21.3"
"9"	"p"	"1437"	"1456"	"19"	"3"	"16998010"	"32452267"	"p22.2"	"p21.1"
"9"	"p"	"1447"	"1468"	"21"	"4"	"24888888"	"46791316"	"p21.3"	"p11.2"
"9"	"q"	"1469"	"1488"	"19"	"1"	"67516297"	"86102092"	"q13"	"q21.32"
"9"	"q"	"1479"	"1498"	"19"	"2"	"78861659"	"91415512"	"q21.13"	"q22.1"
"9"	"q"	"1489"	"1508"	"19"	"3"	"86991741"	"98981704"	"q21.33"	"q22.32"
"9"	"q"	"1499"	"1518"	"19"	"4"	"92847611"	"106175452"	"q22.2"	"q31.1"
"9"	"q"	"1509"	"1528"	"19"	"5"	"100042032"	"114652483"	"q22.33"	"q31.3"
"9"	"q"	"1519"	"1538"	"19"	"6"	"106545018"	"121037606"	"q31.1"	"q33.1"
"9"	"q"	"1529"	"1548"	"19"	"7"	"115462209"	"128193295"	"q32"	"q33.3"
"9"	"q"	"1539"	"1559"	"20"	"8"	"121874735"	"137973287"	"q33.1"	"q34.3"
"10"	"p"	"1560"	"1579"	"19"	"1"	"1217029"	"19986417"	"p15.3"	"p12.31"
"10"	"p"	"1570"	"1589"	"19"	"2"	"10915523"	"28946018"	"p14"	"p12.1"
"10"	"p"	"1580"	"1600"	"20"	"3"	"20522279"	"38562688"	"p12.31"	"p11.1"
"10"	"q"	"1601"	"1620"	"19"	"1"	"43341888"	"63184049"	"q11.21"	"q21.2"
"10"	"q"	"1611"	"1630"	"19"	"2"	"54243337"	"74164328"	"q21.1"	"q22.1"
"10"	"q"	"1621"	"1640"	"19"	"3"	"64111493"	"82490215"	"q21.2"	"q23.1"
"10"	"q"	"1631"	"1650"	"19"	"4"	"75284694"	"90607464"	"q22.2"	"q23.31"
"10"	"q"	"1641"	"1660"	"19"	"5"	"83646484"	"100952271"	"q23.1"	"q24.2"
"10"	"q"	"1651"	"1670"	"19"	"6"	"91326292"	"111508658"	"q23.31"	"q25.1"
"10"	"q"	"1661"	"1680"	"19"	"7"	"101712730"	"120370659"	"q24.2"	"q26.11"
"10"	"q"	"1671"	"1697"	"26"	"8"	"112361447"	"135221600"	"q25.2"	"q26.3"
"11"	"p"	"1698"	"1717"	"19"	"1"	"1629862"	"18139630"	"p15.5"	"p15.1"
"11"	"p"	"1708"	"1727"	"19"	"2"	"9709739"	"30606866"	"p15.4"	"p14.1"
"11"	"p"	"1718"	"1737"	"19"	"3"	"18585995"	"35190778"	"p15.1"	"p13"
