"Chrom"	"Arm"	"Beg"	"End"	"Length"	"Segment"	"bpStart"	"bpEnd"	"CytoStart"	"CytoEnd"
"2"	"q"	"330"	"349"	"19"	"6"	"154719948"	"172410324"	"q23.3"	"q31.1"
"2"	"q"	"340"	"359"	"19"	"7"	"165980488"	"183438700"	"q24.3"	"q32.1"
"2"	"q"	"350"	"369"	"19"	"8"	"173461521"	"191454754"	"q31.1"	"q32.2"
"2"	"q"	"360"	"379"	"19"	"9"	"184622291"	"201848788"	"q32.1"	"q33.1"
"2"	"q"	"370"	"389"	"19"	"10"	"193207674"	"210920868"	"q32.3"	"q34"
"2"	"q"	"380"	"399"	"19"	"11"	"202710319"	"221627991"	"q33.1"	"q36.1"
"2"	"q"	"390"	"417"	"27"	"12"	"212164265"	"240317277"	"q34"	"q37.3"
"3"	"p"	"418"	"437"	"19"	"1"	"794376"	"14911335"	"p26.3"	"p25.1"
"3"	"p"	"428"	"447"	"19"	"2"	"7586443"	"23599970"	"p26.1"	"p24.3"
"3"	"p"	"438"	"457"	"19"	"3"	"15654041"	"31660835"	"p25.1"	"p23"
"3"	"p"	"448"	"467"	"19"	"4"	"24193255"	"41198083"	"p24.2"	"p22.1"
"3"	"p"	"458"	"477"	"19"	"5"	"32675189"	"49869914"	"p22.3"	"p21.31"
"3"	"p"	"468"	"487"	"19"	"6"	"42625834"	"58175201"	"p22.1"	"p14.3"
"3"	"p"	"478"	"497"	"19"	"7"	"51583522"	"70551043"	"p21.2"	"p13"
"3"	"p"	"488"	"515"	"27"	"8"	"59727302"	"87488189"	"p14.2"	"p11.2"
"3"	"q"	"516"	"535"	"19"	"1"	"94037937"	"114057369"	"q11.2"	"q13.31"
"3"	"q"	"526"	"545"	"19"	"2"	"103699273"	"122005100"	"q13.11"	"q21.1"
"3"	"q"	"536"	"555"	"19"	"3"	"114797967"	"131131415"	"q13.31"	"q22.1"
"3"	"q"	"546"	"565"	"19"	"4"	"122356613"	"139780668"	"q21.1"	"q23"
"3"	"q"	"556"	"575"	"19"	"5"	"132340909"	"148030187"	"q22.1"	"q24"
"3"	"q"	"566"	"585"	"19"	"6"	"140689764"	"155160384"	"q23"	"q25.31"
"3"	"q"	"576"	"595"	"19"	"7"	"148858461"	"169246634"	"q24"	"q26.2"
"3"	"q"	"586"	"605"	"19"	"8"	"155631556"	"179385745"	"q25.31"	"q26.33"
"3"	"q"	"596"	"615"	"19"	"9"	"169349126"	"187210808"	"q26.2"	"q27.3"
"3"	"q"	"606"	"626"	"20"	"10"	"179953005"	"197493977"	"q26.33"	"q29"
"4"	"p"	"627"	"646"	"19"	"1"	"1076598"	"27137510"	"p16.3"	"p15.2"
"4"	"p"	"637"	"656"	"19"	"2"	"11032457"	"37516696"	"p16.1"	"p14"
"4"	"p"	"647"	"666"	"19"	"3"	"28650879"	"48830559"	"p15.1"	"p11"
"4"	"q"	"667"	"686"	"19"	"1"	"52661122"	"71661502"	"q11"	"q13.3"
