"Chrom"	"Arm"	"Beg"	"End"	"Length"	"Segment"	"bpStart"	"bpEnd"	"CytoStart"	"CytoEnd"
"11"	"p"	"1728"	"1752"	"24"	"4"	"30708700"	"51439293"	"p14.1"	"p11.12"
"11"	"q"	"1753"	"1772"	"19"	"1"	"55083762"	"70559975"	"q11"	"q13.4"
"11"	"q"	"1763"	"1782"	"19"	"2"	"64087480"	"78357714"	"q13.1"	"q14.1"
"11"	"q"	"1773"	"1792"	"19"	"3"	"70629079"	"87243850"	"q13.4"	"q14.2"
"11"	"q"	"1783"	"1802"	"19"	"4"	"78965063"	"96651471"	"q14.1"	"q21"
"11"	"q"	"1793"	"1812"	"19"	"5"	"91264719"	"104299413"	"q14.3"	"q22.3"
"11"	"q"	"1803"	"1822"	"19"	"6"	"97598601"	"114236228"	"q22.1"	"q23.2"
"11"	"q"	"1813"	"1832"	"19"	"7"	"105445897"	"122620172"	"q22.3"	"q24.1"
"11"	"q"	"1823"	"1845"	"22"	"8"	"115319527"	"134479818"	"q23.3"	"q25"
"12"	"p"	"1846"	"1865"	"19"	"1"	"282273"	"18609593"	"p13.33"	"p12.3"
"12"	"p"	"1856"	"1881"	"25"	"2"	"8027871"	"33280286"	"p13.31"	"p11.21"
"12"	"q"	"1882"	"1901"	"19"	"1"	"38914690"	"53207103"	"q12"	"q13.13"
"12"	"q"	"1892"	"1911"	"19"	"2"	"47577091"	"61925893"	"q13.11"	"q14.1"
"12"	"q"	"1902"	"1921"	"19"	"3"	"53460231"	"74781532"	"q13.13"	"q21.1"
"12"	"q"	"1912"	"1931"	"19"	"4"	"64567977"	"83465375"	"q14.2"	"q21.31"
"12"	"q"	"1922"	"1941"	"19"	"5"	"74908274"	"94471863"	"q21.1"	"q22"
"12"	"q"	"1932"	"1951"	"19"	"6"	"84167850"	"102067275"	"q21.31"	"q23.2"
"12"	"q"	"1942"	"1961"	"19"	"7"	"94523046"	"110678166"	"q22"	"q24.11"
"12"	"q"	"1952"	"1971"	"19"	"8"	"102957740"	"119576146"	"q23.2"	"q24.23"
"12"	"q"	"1962"	"1986"	"24"	"9"	"111316270"	"133346391"	"q24.11"	"q24.33"
"13"	"q"	"1987"	"2006"	"19"	"1"	"20238604"	"36012940"	"q12.11"	"q13.3"
"13"	"q"	"1997"	"2016"	"19"	"2"	"28516250"	"46042385"	"q12.2"	"q14.13"
"13"	"q"	"2007"	"2026"	"19"	"3"	"38319921"	"56818886"	"q13.3"	"q21.1"
"13"	"q"	"2017"	"2036"	"19"	"4"	"48083033"	"68428774"	"q14.2"	"q21.32"
"13"	"q"	"2027"	"2046"	"19"	"5"	"58732382"	"78892425"	"q21.1"	"q22.3"
"13"	"q"	"2037"	"2056"	"19"	"6"	"69283809"	"89061550"	"q21.33"	"q31.2"
"13"	"q"	"2047"	"2066"	"19"	"7"	"79057929"	"98471162"	"q31.1"	"q32.2"
"13"	"q"	"2057"	"2081"	"24"	"8"	"89679237"	"113692428"	"q31.2"	"q34"
"14"	"q"	"2082"	"2101"	"19"	"1"	"20501977"	"40300279"	"q11.2"	"q21.1"
