"Chrom"	"Arm"	"Beg"	"End"	"Length"	"Segment"	"bpStart"	"bpEnd"	"CytoStart"	"CytoEnd"
"4"	"q"	"677"	"696"	"19"	"2"	"61969315"	"81290035"	"q13.1"	"q21.21"
"4"	"q"	"687"	"706"	"19"	"3"	"72021300"	"90704922"	"q13.3"	"q22.1"
"4"	"q"	"697"	"716"	"19"	"4"	"81980978"	"101292561"	"q21.21"	"q24"
"4"	"q"	"707"	"726"	"19"	"5"	"91535761"	"109658621"	"q22.1"	"q25"
"4"	"q"	"717"	"736"	"19"	"6"	"101595206"	"120936770"	"q24"	"q27"
"4"	"q"	"727"	"746"	"19"	"7"	"109839332"	"131395984"	"q25"	"q28.3"
"4"	"q"	"737"	"756"	"19"	"8"	"121497417"	"142182745"	"q27"	"q31.21"
"4"	"q"	"747"	"766"	"19"	"9"	"132550017"	"152548400"	"q28.3"	"q31.3"
"4"	"q"	"757"	"776"	"19"	"10"	"143689171"	"166022098"	"q31.21"	"q32.3"
"4"	"q"	"767"	"786"	"19"	"11"	"152744745"	"176245828"	"q31.3"	"q34.1"
"4"	"q"	"777"	"799"	"22"	"12"	"166521693"	"190284043"	"q32.3"	"q35.2"
"5"	"p"	"800"	"819"	"19"	"1"	"2518762"	"16627325"	"p15.33"	"p15.1"
"5"	"p"	"810"	"829"	"19"	"2"	"10307620"	"31292180"	"p15.2"	"p13.3"
"5"	"p"	"820"	"840"	"20"	"3"	"19608109"	"42861888"	"p14.3"	"p12"
"5"	"q"	"841"	"860"	"19"	"1"	"49873025"	"67288159"	"q11.1"	"q13.1"
"5"	"q"	"851"	"870"	"19"	"2"	"59305148"	"80010729"	"q12.1"	"q14.1"
"5"	"q"	"861"	"880"	"19"	"3"	"71625032"	"94503035"	"q13.2"	"q15"
"5"	"q"	"871"	"890"	"19"	"4"	"81211273"	"107989292"	"q14.1"	"q21.3"
"5"	"q"	"881"	"900"	"19"	"5"	"95817382"	"118954363"	"q15"	"q23.1"
"5"	"q"	"891"	"910"	"19"	"6"	"109322974"	"129522360"	"q21.3"	"q23.3"
"5"	"q"	"901"	"920"	"19"	"7"	"119641936"	"136337622"	"q23.1"	"q31.2"
"5"	"q"	"911"	"930"	"19"	"8"	"130288002"	"145171748"	"q23.3"	"q32"
"5"	"q"	"921"	"940"	"19"	"9"	"136865228"	"152838083"	"q31.2"	"q33.2"
"5"	"q"	"931"	"950"	"19"	"10"	"146334151"	"165746145"	"q32"	"q34"
"5"	"q"	"941"	"962"	"21"	"11"	"154437557"	"178312004"	"q33.2"	"q35.3"
"6"	"p"	"963"	"982"	"19"	"1"	"1297036"	"20523819"	"p25.3"	"p22.3"
"6"	"p"	"973"	"992"	"19"	"2"	"11374225"	"29214068"	"p24.2"	"p22.1"
"6"	"p"	"983"	"1002"	"19"	"3"	"21405056"	"39870200"	"p22.3"	"p21.2"
"6"	"p"	"993"	"1021"	"28"	"4"	"31924988"	"58503276"	"p21.33"	"p11.2"
